member_id,name,state,party,url,class
B001230,Tammy Baldwin,WI,D,https://www.baldwin.senate.gov,1
B001261,John Barrasso,WY,R,https://www.barrasso.senate.gov,1
B001267,Michael Bennet,CO,D,https://www.bennet.senate.gov/public,3
B001243,Marsha Blackburn,TN,R,https://www.blackburn.senate.gov,1
B001277,Richard Blumenthal,CT,D,https://www.blumenthal.senate.gov,3
B000575,Roy Blunt,MO,R,https://www.blunt.senate.gov,3
B001288,Cory Booker,NJ,D,https://www.booker.senate.gov,2
B001236,John Boozman,AR,R,https://www.boozman.senate.gov/public,3
B001310,Mike Braun,IN,R,https://www.braun.senate.gov,1
B000944,Sherrod Brown,OH,D,https://www.brown.senate.gov,1
B001135,Richard Burr,NC,R,https://www.burr.senate.gov,3
C000127,Maria Cantwell,WA,D,https://www.cantwell.senate.gov,1
C001047,Shelley Capito,WV,R,https://www.capito.senate.gov,2
C000141,Benjamin Cardin,MD,D,https://www.cardin.senate.gov,1
C000174,Thomas Carper,DE,D,https://www.carper.senate.gov/public,1
C001070,Bob Casey,PA,D,https://www.casey.senate.gov,1
C001075,Bill Cassidy,LA,R,https://www.cassidy.senate.gov,2
C001035,Susan Collins,ME,R,https://www.collins.senate.gov,2
C001088,Christopher Coons,DE,D,https://www.coons.senate.gov,2
C001056,John Cornyn,TX,R,https://www.cornyn.senate.gov,2
C001113,Catherine Cortez Masto,NV,D,https://www.cortezmasto.senate.gov,3
C001095,Tom Cotton,AR,R,https://www.cotton.senate.gov,2
C001096,Kevin Cramer,ND,R,https://www.cramer.senate.gov,1
C000880,Michael Crapo,ID,R,https://www.crapo.senate.gov,3
C001098,Ted Cruz,TX,R,https://www.cruz.senate.gov,1
D000618,Steve Daines,MT,R,https://www.daines.senate.gov,2
D000622,Tammy Duckworth,IL,D,https://www.duckworth.senate.gov,3
D000563,Richard Durbin,IL,D,https://www.durbin.senate.gov,2
E000295,Joni Ernst,IA,R,https://www.ernst.senate.gov,2
F000062,Dianne Feinstein,CA,D,https://www.feinstein.senate.gov,1
F000463,Deb Fischer,NE,R,https://www.fischer.senate.gov,1
G000555,Kirsten Gillibrand,NY,D,https://www.gillibrand.senate.gov,1
G000359,Lindsey Graham,SC,R,https://www.lgraham.senate.gov/public,2
G000386,Charles Grassley,IA,R,https://www.grassley.senate.gov,3
H000601,Bill Hagerty,TN,R,https://www.hagerty.senate.gov,2
H001076,Margaret Hassan,NH,D,https://www.hassan.senate.gov,3
H001089,Joshua Hawley,MO,R,https://www.hawley.senate.gov,1
H001046,Martin Heinrich,NM,D,https://www.heinrich.senate.gov,1
H000273,John Hickenlooper,CO,D,https://www.hickenlooper.senate.gov,2
H001042,Mazie Hirono,HI,D,https://www.hirono.senate.gov,1
H001061,John Hoeven,ND,R,https://www.hoeven.senate.gov,3
H001079,Cindy Hyde-Smith,MS,R,https://www.hydesmith.senate.gov,2
I000024,James Inhofe,OK,R,https://www.inhofe.senate.gov,2
J000293,Ron Johnson,WI,R,https://www.ronjohnson.senate.gov,3
K000384,Tim Kaine,VA,D,https://www.kaine.senate.gov,1
K000377,Mark Kelly,AZ,D,https://www.kelly.senate.gov,3
K000393,John Kennedy,LA,R,https://www.kennedy.senate.gov/public,3
K000383,Angus King,ME,ID,https://www.king.senate.gov,1
K000367,Amy Klobuchar,MN,D,https://www.klobuchar.senate.gov,1
L000575,James Lankford,OK,R,https://www.lankford.senate.gov,3
L000174,Patrick Leahy,VT,D,https://www.leahy.senate.gov,3
L000577,Mike Lee,UT,R,https://www.lee.senate.gov,3
L000570,Ben Luján,NM,D,https://www.lujan.senate.gov,2
L000571,Cynthia Lummis,WY,R,https://www.lummis.senate.gov,2
M001183,Joe Manchin,WV,D,https://www.manchin.senate.gov,1
M000133,Edward Markey,MA,D,https://www.markey.senate.gov,2
M001198,Roger Marshall,KS,R,https://www.marshall.senate.gov,2
M000355,Mitch McConnell,KY,R,https://www.mcconnell.senate.gov,2
M000639,Robert Menendez,NJ,D,https://www.menendez.senate.gov,1
M001176,Jeff Merkley,OR,D,https://www.merkley.senate.gov,2
M000934,Jerry Moran,KS,R,https://www.moran.senate.gov,3
M001153,Lisa Murkowski,AK,R,https://www.murkowski.senate.gov,3
M001169,Christopher Murphy,CT,D,https://www.murphy.senate.gov,1
M001111,Patty Murray,WA,D,https://www.murray.senate.gov,3
O000174,Jon Ossoff,GA,D,https://www.ossoff.senate.gov,2
P000145,Alex Padilla,CA,D,https://www.padilla.senate.gov,3
P000603,Rand Paul,KY,R,https://www.paul.senate.gov,3
P000595,Gary Peters,MI,D,https://www.peters.senate.gov,2
P000449,Rob Portman,OH,R,https://www.portman.senate.gov,3
R000122,Jack Reed,RI,D,https://www.reed.senate.gov,2
R000584,Jim Risch,ID,R,https://www.risch.senate.gov,2
R000615,Mitt Romney,UT,R,https://www.romney.senate.gov,1
R000608,Jacky Rosen,NV,D,https://www.rosen.senate.gov,1
R000605,Mike Rounds,SD,R,https://www.rounds.senate.gov,2
R000595,Marco Rubio,FL,R,https://www.rubio.senate.gov,3
S000033,Bernard Sanders,VT,ID,https://www.sanders.senate.gov,1
S001197,Ben Sasse,NE,R,https://www.sasse.senate.gov/public,2
S001194,Brian Schatz,HI,D,https://www.schatz.senate.gov,3
S000148,Charles Schumer,NY,D,https://www.schumer.senate.gov,3
S001217,Rick Scott,FL,R,https://www.rickscott.senate.gov,1
S001184,Tim Scott,SC,R,https://www.scott.senate.gov,3
S001181,Jeanne Shaheen,NH,D,https://www.shaheen.senate.gov,2
S000320,Richard Shelby,AL,R,https://www.shelby.senate.gov,3
S001191,Kyrsten Sinema,AZ,I,https://www.sinema.senate.gov,1
S001203,Tina Smith,MN,D,https://www.smith.senate.gov,2
S000770,Debbie Stabenow,MI,D,https://www.stabenow.senate.gov,1
S001198,Dan Sullivan,AK,R,https://www.sullivan.senate.gov,2
T000464,Jon Tester,MT,D,https://www.tester.senate.gov,1
T000250,John Thune,SD,R,https://www.thune.senate.gov,3
T000476,Thom Tillis,NC,R,https://www.tillis.senate.gov,2
T000461,Patrick Toomey,PA,R,https://www.toomey.senate.gov,3
T000278,Tommy Tuberville,AL,R,https://www.tuberville.senate.gov,2
V000128,Chris Van Hollen,MD,D,https://www.vanhollen.senate.gov,3
W000805,Mark Warner,VA,D,https://www.warner.senate.gov,2
W000790,Raphael Warnock,GA,D,https://www.warnock.senate.gov,3
W000817,Elizabeth Warren,MA,D,https://www.warren.senate.gov,1
W000802,Sheldon Whitehouse,RI,D,https://www.whitehouse.senate.gov,1
W000437,Roger Wicker,MS,R,https://www.wicker.senate.gov,1
W000779,Ron Wyden,OR,D,https://www.wyden.senate.gov,3
Y000064,Todd Young,IN,R,https://www.young.senate.gov,3
